Method,Method_key,Metric,Metric_key,Mean_computed,Std_computed,N_scored,Sum_computed,Calculation,Mean_JSON,Std_JSON,Verification
BM25,bm25,Exact Match,exact_match,0.0400,0.1979,50,2.0000,2.0000 / 50 = 0.0400,0.0400,0.1979,OK
BM25,bm25,Token F1,token_f1,0.4592,0.2436,50,22.9590,22.9590 / 50 = 0.4592,0.4592,0.2436,OK
BM25,bm25,ROUGE-L,rouge_l,0.4613,0.2411,50,23.0648,23.0648 / 50 = 0.4613,0.4613,0.2411,OK
BM25,bm25,Answer Correctness,answer_correctness,0.7294,0.2849,50,36.4716,36.4716 / 50 = 0.7294,0.7294,0.2849,OK
BM25,bm25,Faithfulness,faithfulness,0.7760,0.3631,50,38.8000,38.8000 / 50 = 0.7760,0.7760,0.3631,OK
BM25,bm25,Context Precision,context_precision,0.8435,0.2664,50,42.1765,42.1765 / 50 = 0.8435,0.8435,0.2664,OK
BM25,bm25,Context Recall,context_recall,0.8700,0.3164,50,43.5000,43.5000 / 50 = 0.8700,0.8700,0.3164,OK
Dense,dense,Exact Match,exact_match,0.0200,0.1414,50,1.0000,1.0000 / 50 = 0.0200,0.0200,0.1414,OK
Dense,dense,Token F1,token_f1,0.3627,0.2697,50,18.1359,18.1359 / 50 = 0.3627,0.3627,0.2697,OK
Dense,dense,ROUGE-L,rouge_l,0.3569,0.2691,50,17.8474,17.8474 / 50 = 0.3569,0.3569,0.2691,OK
Dense,dense,Answer Correctness,answer_correctness,0.6009,0.3233,49,29.4439,29.4439 / 49 = 0.6009,0.6009,0.3233,OK
Dense,dense,Faithfulness,faithfulness,0.6058,0.4222,50,30.2888,30.2888 / 50 = 0.6058,0.6058,0.4222,OK
Dense,dense,Context Precision,context_precision,0.8125,0.2456,49,39.8129,39.8129 / 49 = 0.8125,0.8125,0.2456,OK
Dense,dense,Context Recall,context_recall,0.8900,0.3079,50,44.5000,44.5000 / 50 = 0.8900,0.8900,0.3079,OK
Hybrid,hybrid,Exact Match,exact_match,0.0400,0.1979,50,2.0000,2.0000 / 50 = 0.0400,0.0400,0.1979,OK
Hybrid,hybrid,Token F1,token_f1,0.4281,0.2650,50,21.4047,21.4047 / 50 = 0.4281,0.4281,0.2650,OK
Hybrid,hybrid,ROUGE-L,rouge_l,0.4245,0.2655,50,21.2240,21.2240 / 50 = 0.4245,0.4245,0.2655,OK
Hybrid,hybrid,Answer Correctness,answer_correctness,0.6620,0.3286,50,33.1021,33.1021 / 50 = 0.6620,0.6620,0.3286,OK
Hybrid,hybrid,Faithfulness,faithfulness,0.6885,0.4144,50,34.4250,34.4250 / 50 = 0.6885,0.6885,0.4144,OK
Hybrid,hybrid,Context Precision,context_precision,0.8402,0.2281,50,42.0098,42.0098 / 50 = 0.8402,0.8402,0.2281,OK
Hybrid,hybrid,Context Recall,context_recall,0.8600,0.3356,50,43.0000,43.0000 / 50 = 0.8600,0.8600,0.3356,OK
Hybrid+Reranker,hybrid_reranker,Exact Match,exact_match,0.0400,0.1979,50,2.0000,2.0000 / 50 = 0.0400,0.0400,0.1979,OK
Hybrid+Reranker,hybrid_reranker,Token F1,token_f1,0.4720,0.2399,50,23.5995,23.5995 / 50 = 0.4720,0.4720,0.2399,OK
Hybrid+Reranker,hybrid_reranker,ROUGE-L,rouge_l,0.4679,0.2417,50,23.3946,23.3946 / 50 = 0.4679,0.4679,0.2417,OK
Hybrid+Reranker,hybrid_reranker,Answer Correctness,answer_correctness,0.7612,0.2697,50,38.0578,38.0578 / 50 = 0.7612,0.7612,0.2697,OK
Hybrid+Reranker,hybrid_reranker,Faithfulness,faithfulness,0.7700,0.3652,50,38.5000,38.5000 / 50 = 0.7700,0.7700,0.3652,OK
Hybrid+Reranker,hybrid_reranker,Context Precision,context_precision,0.9010,0.1693,50,45.0515,45.0515 / 50 = 0.9010,0.9010,0.1693,OK
Hybrid+Reranker,hybrid_reranker,Context Recall,context_recall,0.9600,0.1702,50,48.0000,48.0000 / 50 = 0.9600,0.9600,0.1702,OK
